Expedient;Vista original;Lots oficials;Imports i adjudicatari coincideixen;Font
AOC-2026-70;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/805680a0-713a-417b-8b52-3b6f35effdd9/300874625
CONTR/2026/0000000495;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/4d053a63-8b11-4724-998e-c4882941f4d3/300873965
CO.04.2025;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/df345a38-27da-4e29-b988-94b237a04de5/300860479
2026-0237-OASE;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/bbb86020-9142-43ae-b4a2-c8c098fe507b/300872788
2026-0279-OSB;open;1,10,11,2,3,4,5,6,7,8,9;True;https://contractaciopublica.cat/ca/detall-publicacio/f8fd90c2-2115-460f-9cb3-c48b1608ec89/300872407
CONTR/2026/0000000460;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/9f192084-2e0c-4bee-8a45-08e3a9ace7da/300861799
2026-0238-OASB;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/a928fe80-f7ef-4773-be8b-733e715c7c45/300873198
2607OB08;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/c5245a87-e1c0-4405-bb70-ad5abef3821f/300871971
PR-2027-21;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/f37f7059-f6ca-44e5-a6a8-ac1c08159b06/300856691
CONTR/2026/0000000553;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/7c3539ac-3cce-4aa1-8fa5-936fb2cd1b83/300868715
CTTI-2027-1;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/f8063a5a-dee6-4cc3-a41f-5e78ad02df46/300871443
2608OB01;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/8e40298b-4c08-4d52-8198-915cdec184fb/300871262
CONTR/2026/0000000539;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/efc1d5ed-cfdf-491b-86ed-8097175803c2/300874587
Exp. 23/2026;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/93e79565-c25f-427d-81bf-a8159e7895ea/300871231
V0952-OPER-S-26-010;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/22ce1dcb-8091-4968-9ef7-cb05906850ea/300872452
SDA-2601;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/f46e21f9-f7ac-4be7-beb3-c12f822d2156/300801486
EC24/000010;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/cac59e5b-0cea-440a-b052-5fb627d80f05/300411051
0004/2022;open;1,2,3,4,5,6,7;True;https://contractaciopublica.cat/ca/detall-publicacio/95e201f8-a1c0-aeab-af60-8ad73e40f6e2/300596219
EC25/000063;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/b1d56d61-49b0-4a30-ba45-8f484f55bbae/300530157
EC25/000079;open;1,2;True;https://contractaciopublica.cat/ca/detall-publicacio/2001eb60-8263-4136-91e2-287aa40ca387/300574364
EC25/000080;open;;True;https://contractaciopublica.cat/ca/detall-publicacio/1f361505-a1e5-4e21-8228-98280ac5b1d4/300561277
Exp. 06-2025;open;1,10,2,3,4,5,6,7,8,9;True;https://contractaciopublica.cat/ca/detall-publicacio/162d2e0e-9793-4c55-8ca0-0b6246ee8ed6/300419333
Subm_2025_1;open;1,2,3;True;https://contractaciopublica.cat/ca/detall-publicacio/2eea0ab0-6275-47e5-ad94-aef6245160b9/300551427
CTTI-2025-96;open;1,10,11,12,13,14,15,2,3,4,5,6,7,8,9;True;https://contractaciopublica.cat/ca/detall-publicacio/43ced24f-d1ae-4950-88cb-51ac72424929/300448472
AOC-2025-59;open;1,2,3,4,5,6;True;https://contractaciopublica.cat/ca/detall-publicacio/9e78ef3b-563f-4227-ae96-ecb07a65fadb/300608950
CONT-2026-002;open;1,2,3;True;https://contractaciopublica.cat/ca/detall-publicacio/8547cfdd-3873-42ec-af53-177dd65be1b6/300736164
CTTI-2026-105;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/735ddda1-e7c6-4ac5-bf99-2d8a3440bd9a/300860636
CTTI-2026-155;adjudicated;;True;https://contractaciopublica.cat/ca/detall-publicacio/41ced08b-93a1-4cd9-b0c8-ab133eef3825/300863654
