SDA;Expedient;Objecte;Categoria;Publicació avís;Termini publicat;Pressupost sense IVA;Font;Extracció
CTTI-2025-96;CTTI-2026-167;CTTI-2026-167 Anunci de licitació del Servei de l’eina de canal empresa (CE-BIM) per al suport a la tramitació d’expedients que contenen projectes amb memòries tècniques a través de la incorporació de la metodologia BIM (Building Information Modeling) - Corresponent a la Categoria C, Franja 2.;Subcategoria C Franja C2;2026-06-26T07:40:05.366Z;2026-07-16T10:00:59.000Z;1450660.27;https://contractaciopublica.cat/ca/detall-publicacio/fd4b2f00-4f62-4a31-a820-71a8f1f666fb/300814771?hash=9f47e73d509d4f7cfb6f5b06b6a73ecc;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-170;CTTI-2026-170 Anunci de licitació del servei de de construcció, implantació i dels serveis de manteniment associats a l’explotació de les dades del sistema AUCAT a la PTD (AUCAT-PTD) - Corresponent a la Categoria B, Subcategoria B3, Franja 2.;Subcategoria B3 Franja B3-2;2026-06-25T10:32:55.771Z;2026-07-20T10:00:59.000Z;821065.34;https://contractaciopublica.cat/ca/detall-publicacio/1fc3d5f9-e421-426c-9be4-f9a55c5bbbfb/300807807?hash=c79f3fe3a68b1ff92dc940a9bd526ecf;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-159;CTTI-2026-159 Anunci de licitació del Servei de consultoria per definir l’estratègia de la plataforma integral urbanística de Catalunya (PIUC) - Corresponent a la Categoria A, Franja 2;Categoria A Franja A2;2026-06-23T09:38:05.827Z;2026-07-15T10:00:00.000Z;168637.92;https://contractaciopublica.cat/ca/detall-publicacio/bcb2fec5-897e-40c3-ac36-fd3784f4d81f/300807316?hash=bc9356590273954648522f0171510113;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-132;CTTI-2026-132 Anunci de licitació del contracte específics: Servei d'operació del Centre de Control del CTTI;Subcategoria E Franja E2;2026-06-22T11:22:07.671Z;2026-07-21T10:00:00.000Z;8075742.05;https://contractaciopublica.cat/ca/detall-publicacio/10b43502-3d95-4b4b-a686-a1b585c9c9c9/300811299?hash=eab4a0291184fc2cfeadc0cfa95cc380;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-161,CTTI-2025-96;CTTI-2026-161Servei de manteniment recurrent i petits evolutius per l’ecosistema actual d’aplicacions de les activitats del Consorci per a la Normalització Lingüística (CPNL), contracte específic de l’SDA per a l’adhesió de proveïdors per a la contractació des serveis de definició, gestió, construcció, manteniment i operació, i el suport a les solucions TIC (Exp. CTTI-2025-96).;Subcategoria C Franja C1;2026-06-18T08:28:05.379Z;2026-06-29T21:59:59.000Z;188996.61;https://contractaciopublica.cat/ca/detall-publicacio/8f5bc2ef-daa0-4b81-9348-27e775b83ee0/300807286?hash=c72ad6b0245e27181227d685f1a65641;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-154,CTTI-2025-96;Exp. CTTI-2026-154, Servei de construcció i manteniment del sistema de control d’acords de nivell de servei pel CTTI, contracte específic de l’SDA per a l’adhesió de proveïdors per a la contractació des serveis de definició, gestió, construcció, manteniment i operació, i el suport a les solucions TIC (Exp. CTTI-2025-96), Franja C2;Subcategoria C Franja C2;2026-06-11T06:12:06.115Z;2026-06-26T10:00:59.000Z;396450.87;https://contractaciopublica.cat/ca/detall-publicacio/8a9c2f7b-79d3-4eb5-8a09-9310d9385d3e/300801594?hash=fcb56183adac25bdba16a43844d960b2;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-140;CTTI-2026-140: Anunci de licitació de contracte específic: Servei de construcció i implantació de la nova aplicació SCAR - Corresponent a la Categoria C, Franja C2;Subcategoria C Franja C2;2026-06-01T09:18:05.385Z;2026-06-22T10:00:00.000Z;332379.17;https://contractaciopublica.cat/ca/detall-publicacio/67ce2d95-0eae-4b82-b11b-09672ad1f7b1/300779615?hash=a6a85cb3cb1a1ca7fb89c237d2145078;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-133;CTTI-2026-133 - Anunci de licitació del contracte específic: Servei de suport a la gestió operativa de les eines transversals d'observabilitat (Categoria E, Franja E2);Subcategoria E Franja E2;2026-05-18T11:18:05.380Z;2026-06-09T10:00:00.000Z;3404827.91;https://contractaciopublica.cat/ca/detall-publicacio/aeaa64dd-1466-4fbc-842c-34ae8f497c8d/300778396;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-131;"CTTI-2026-131 - Anunci de licitació del contracte específic: Servei d'Oficina per al suport al govern del procés de gestió TIC ""Preparar el servei"" (Categoria E, Franja E2)";Subcategoria E Franja E2;2026-05-18T11:02:27.887Z;2026-06-09T10:00:00.000Z;2365522.1;https://contractaciopublica.cat/ca/detall-publicacio/1acf5b60-6c70-481c-9b25-0d942cc8ca5e/300778384;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-122;CTTI-2026-122 - Anunci de licitació del contracte específic: Servei pel Pla de Transformació Digital de la Direcció General de Boscos i Gestió del Medi (Categoria C, Franja C2);Subcategoria C Franja C2;2026-05-14T13:26:05.374Z;2026-05-15T10:00:59.000Z;826413.81;https://contractaciopublica.cat/ca/detall-publicacio/52267465-fadc-46e3-91da-2c8b8b85b925/300761826?hash=b96467aec4f7ef04c93e241478ee0483;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-123;Anunci de licitació CTTI-2026-123 Servei de suport a la gestió operativa per a la millora dels processos TIC ;Subcategoria E Franja E2;2026-04-30T13:30:14.554Z;2026-05-29T21:59:59.000Z;3689017.2;https://contractaciopublica.cat/ca/detall-publicacio/34397883-fdb3-4611-82c3-483a92b2f161/300755764?hash=1f00a110c7ee617897a9d1e63a6b0aed;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-121;CTTI-2026-121 Anunci de licitació de contracte específic: Servei de gestió operativa de les eines de suport a l’usuari de l’Administració de la Generalitat de Catalunya;Subcategoria E Franja E2;2026-04-30T13:26:07.046Z;2026-05-29T21:59:59.000Z;4195703.96;https://contractaciopublica.cat/ca/detall-publicacio/7f72d516-4366-4de6-9e32-fdaa4512fab6/300755760?hash=e6dcb0a6aa41a634036c0fac89bd09f0;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-105;CTTI-2026-105 Anunci de licitació del contracte específics: Servei Construcció, Manteniment i Gestió de La Plataforma de Gestió dels Processos Econòmic Financers i de Contractació de l’Agència Catalana de l’Aigua;Subcategoria B2 Franja B2-2;2026-04-08T14:56:05.372Z;2026-05-08T10:00:00.000Z;1750912.74;https://contractaciopublica.cat/ca/detall-publicacio/735ddda1-e7c6-4ac5-bf99-2d8a3440bd9a/300741859?hash=21fd8855e8f7432f2284d9e50a594e1a;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-89;CTTI-2026-89, Servei per la transformació i planificació de la prevenció d’incendis forestals. Franja B1.;Subcategoria B1 ;2026-04-07T06:26:08.737Z;2026-04-17T10:00:59.000Z;99141.33;https://contractaciopublica.cat/ca/detall-publicacio/181cb0f0-acd4-422c-b4ae-d3c38e05a852/300715815?hash=d88007d83352ae7639d03ee42be51bd7;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-101;Anunci de licitació de contracte específic CTTI-2026-101: SERVEI DE SUPORT I DESPLEGAMENTS A L’OPERATIVA EN LA PRESTACIÓ DELS SERVEIS I LES SOLUCIONS TIC  (CATEGORIA E Franja 2);Subcategoria E Franja E2;2026-03-27T08:44:07.597Z;2026-04-10T10:00:59.000Z;824340.0;https://contractaciopublica.cat/ca/detall-publicacio/61e5b366-fc8a-45d7-8b13-1d1fbeccbf5a/300734401?hash=e824b1bb80de7f6a7840ccd07dc16c09;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-100;CTTI-2026-100 Anunci de licitació del Servei de manteniment d’aplicacions, gestió de la plataforma i prestació de serveis tecnològics per l’aplicació mòbil del Servei Meteorològic de Catalunya - Corresponent a la Categoria C, Franja C1;Subcategoria C Franja C1;2026-03-26T15:14:05.377Z;2026-04-13T10:00:00.000Z;97488.13;https://contractaciopublica.cat/ca/detall-publicacio/22d4694b-296d-4908-837c-1caca77b6df0/300732156?hash=a8e3c16898070900e613de780e06bc8f;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-77;CTTI-2026-77 Serveis de construcció, implantació, manteniment i gestió de la plataforma de l’accés a la universitat (AUCAT);Subcategoria C Franja C2;2026-02-23T10:32:21.589Z;2026-03-20T11:00:59.000Z;2418112.56;https://contractaciopublica.cat/ca/detall-publicacio/89ae1d7e-3794-452b-ae78-50b676ef3ea3/300696746?hash=845c3a5a98b82a7d31cb19bb4e128974;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-50,CTTI-2025-96;CTTI-2026-50 Servei de migració de l’ERP de gestió microsoft dynamics AX 2012 R3 a la darrera versió estable comercialitzada de dynamics 365 business central i integracions en powerapps per l'Agència Catalana de Turisme, contracte específic de l’SDA per a l’adhesió de proveïdors per a la contractació des serveis de definició, gestió, construcció, manteniment i operació, i el suport a les solucions TIC (Exp. CTTI-2025-96);Subcategoria B2 Franja B2-2;2026-02-03T08:12:10.625Z;2026-02-23T11:00:00.000Z;356879.05;https://contractaciopublica.cat/ca/detall-publicacio/fd03191d-2af7-42b5-bc44-057642224612/300683348?hash=2674abfe482b8d661eda47dc6ccf64af;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-51;CTTI-2026-51 Anunci de licitació del contracte específic: Nou sistema de gestió de proves de català;Subcategoria C Franja C2;2026-02-02T10:56:05.977Z;2026-02-24T11:00:00.000Z;1267633.25;https://contractaciopublica.cat/ca/detall-publicacio/3c20d07e-713b-4719-b2a5-59969fdd6211/300682120;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-46,CTTI-2025-96;CTTI-2026-46 Servei de construcció de la nova estació clínica de treball per a l’àmbit sociosanitari, contracte específic de l’SDA per a l’adhesió de proveïdors per a la contractació des serveis de definició, gestió, construcció, manteniment i operació, i el suport a les solucions TIC (Exp. CTTI-2025-96);Subcategoria B2 Franja B2-2;2026-02-02T06:40:05.659Z;2026-02-13T11:00:00.000Z;699959.35;https://contractaciopublica.cat/ca/detall-publicacio/3162c119-91ef-4b9a-9e24-926082207438/300680597?hash=7ac98ae5b33ac9afa7db931bb06b59f8;2026-09-08T17:47:45.890635+00:00
CTTI-2025-96;CTTI-2026-38;CTTI-2026-38 Anunci de licitació del contracte específics: Servei de Desenvolupament de  SCT - Nova aplicació mòbil del Servei Català de Trànsit;Subcategoria C Franja C2;2025-12-22T11:06:05.362Z;2026-01-12T11:00:00.000Z;323698.19;https://contractaciopublica.cat/ca/detall-publicacio/c1160b95-edc0-4082-9855-5a8d755d8774/300651396?hash=62bdb3692e43435b401607adeaa56880;2026-09-08T17:47:45.890635+00:00
